color_cepa,acidez_fija,acidez_volatil,acido_citrico,azucar_residual,cloruros,dioxido_azufre_libre,dioxido_azufre_total,densidad,pH,sulfatos,alcohol,calificacion,precio,nota_de_cata
tinto,9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7,,
tinto,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,,
blanco,6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6,,
blanco,6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6,,
blanco,7,0.16,0.3,2.6,0.043,34,90,0.99047,2.88,0.47,11.2,6,,
blanco,7.1,0.43,0.3,6.6,0.025,15,138,0.99126,3.18,0.46,12.6,6,,
blanco,7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,7,,
blanco,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,,
blanco,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6,,
blanco,7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5,,
blanco,6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,5,,
tinto,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,6,,
tinto,9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6,,
blanco,6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6,,
tinto,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5,,
blanco,6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,6,,
tinto,7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,6,,
tinto,6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,5,,
tinto,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,,
blanco,7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7,,
tinto,6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6,,
tinto,12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5,5,,
blanco,6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8,,
blanco,7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,,
blanco,6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5,,
tinto,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5,,
blanco,6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5,,
tinto,12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6,,
blanco,6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6,,
tinto,7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5,,
tinto,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,,
tinto,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,,
blanco,9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5,,
blanco,5.8,0.34,0.21,6.6,0.04,50,167,0.9941,3.29,0.62,10,5,,
tinto,6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6,,
tinto,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,,
tinto,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,,
tinto,7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6,,
blanco,6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5,6,,
tinto,7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5,,
blanco,6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11,5,,
blanco,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6,,
blanco,6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,6,,
tinto,11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,5,,
blanco,6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6,,
tinto,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,,
blanco,7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4,8,,
tinto,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,,
blanco,7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,5,,
blanco,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5,,
tinto,9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,7,,
tinto,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,,
tinto,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,,
tinto,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,,
tinto,6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,6,,
tinto,7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5,,
tinto,6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5,,
tinto,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6,,
tinto,7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5,,
blanco,5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8,5,,
blanco,8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,5,,
tinto,8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,5,,
tinto,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,,
tinto,9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5,,
blanco,6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6,,
blanco,6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3,6,,
blanco,7,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6,,
tinto,8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6,,
blanco,6.8,0.3,0.24,6.6,0.123,35,116,0.9953,3.07,0.48,9.4,5,,
tinto,7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6,,
tinto,7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6,,
tinto,8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5,,
tinto,5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5,,
blanco,7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6,,
blanco,6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9,,
tinto,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5,,
tinto,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,,
tinto,7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7,,
blanco,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5,,
tinto,6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5,,
blanco,7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7,,
tinto,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6,,
tinto,10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5,,
tinto,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,,
tinto,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,,
blanco,6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6,,
blanco,7.8,0.24,0.38,2.1,0.058,14,167,0.994,3.21,0.55,9.9,5,,
blanco,7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,,
blanco,7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4,,
tinto,10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,5,,
tinto,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,,
tinto,10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6,,
blanco,7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,6,,
tinto,10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,8,,
blanco,6,0.26,0.24,1.3,0.053,66,150,0.9924,3.21,0.62,10.4,6,,
tinto,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,,
tinto,7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6,,
tinto,7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,,
blanco,5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6,,
tinto,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3,,
tinto,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5,,
tinto,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,,
blanco,7.2,0.36,0.36,5.7,0.038,26,98,0.9914,2.93,0.59,12.5,7,,
blanco,6.8,0.21,0.4,6.3,0.032,40,121,0.99214,3.18,0.53,12,7,,
blanco,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6,,
blanco,6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,5,,
blanco,7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4,,
tinto,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,,
blanco,7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5,,
tinto,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,,
tinto,6.1,0.705,0.1,2.8,0.081,13,28,0.99631,3.6,0.66,10.2,5,,
tinto,8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6,,
blanco,7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,6,,
blanco,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6,,
blanco,7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5,5,,
blanco,5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5,,
tinto,6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7,,
blanco,6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,6,,
blanco,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7,,
blanco,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,8,,
tinto,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,,
blanco,7.6,0.28,0.39,1.2,0.038,21,115,0.994,3.16,0.67,10,6,,
blanco,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7,,
tinto,9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5,,
blanco,6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5,,
tinto,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,,
blanco,6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6,,
tinto,7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5,,
tinto,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,,
blanco,6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,6,,
blanco,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,,
blanco,6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,,
tinto,7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6,,
tinto,9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5,,
blanco,7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6,,
blanco,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,,
tinto,10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,,
blanco,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,7,,
blanco,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,,
blanco,6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5,,
tinto,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5,,
blanco,7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6,,
tinto,10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5,,
blanco,8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,6,,
tinto,7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7,,
blanco,7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6,,
tinto,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7,,
tinto,6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5,,
blanco,6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7,,
tinto,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,,
tinto,7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,6,,
blanco,6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7,,
blanco,6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9,7,,
tinto,7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8,,
blanco,6.2,0.28,0.41,5,0.043,50,188,0.99318,3.23,0.64,10.8,6,,
blanco,6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11,7,,
blanco,7.6,0.31,0.49,3.95,0.044,27,131,0.9912,3.08,0.67,12.8,7,,
tinto,7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5,,
tinto,9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5,,
tinto,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5,,
tinto,8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,5,,
blanco,6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4,,
blanco,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6,,
blanco,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5,,
tinto,7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6,,
blanco,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,,
tinto,5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,,
blanco,6.4,0.34,0.44,8.2,0.043,54,201,0.99551,3.18,0.48,9.5,5,,
blanco,6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9,7,,
tinto,7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5,,
tinto,7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7,,
blanco,7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7,,
tinto,7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5,,
blanco,5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,7,,
tinto,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,,
tinto,7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7,,
blanco,6.8,0.29,0.22,3.4,0.035,40,122,0.99024,3.09,0.47,12.3,6,,
tinto,6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6,,
tinto,14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6,,
tinto,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,,
blanco,7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7,,
tinto,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,,
tinto,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6,,
tinto,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5,,
blanco,7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9,,
tinto,8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5,,
blanco,6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,5,,
tinto,8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5,,
blanco,6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,5,,
blanco,6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,6,,
blanco,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5,,
blanco,6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,8,,
tinto,7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5,,
tinto,8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5,,
tinto,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5,,
tinto,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,,
blanco,7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6,,
blanco,7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,,
tinto,7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5,,
blanco,6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5,,
tinto,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,,
blanco,7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,5,,
tinto,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,,
tinto,6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,5,,
tinto,8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,6,,
blanco,7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5,,
blanco,5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3,7,,
blanco,6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4,,
tinto,8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5,,
tinto,8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,,
blanco,7,0.22,0.33,2.1,0.052,15,76,0.993,3.2,0.41,10.6,6,,
tinto,9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6,,
tinto,6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5,,
blanco,6.6,0.26,0.52,8.2,0.047,52,191,0.99541,3.16,0.47,9.5,6,,
blanco,7.5,0.23,0.36,7,0.036,43,161,0.9938,3.04,0.32,11,5,,
tinto,9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5,,
blanco,6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7,,
tinto,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,,
blanco,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,,
tinto,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,,
blanco,5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5,,
tinto,9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,,
tinto,6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,,
blanco,6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12,7,,
tinto,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6,,
tinto,8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6,,
blanco,6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5,,
tinto,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5,,
blanco,6.1,0.68,0.52,1.4,0.037,32,123,0.99022,3.24,0.45,12,6,,
tinto,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6,,
tinto,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6,,
tinto,10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6,,
tinto,10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6,,
tinto,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6,,
blanco,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,,
tinto,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,,
blanco,7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5,,
tinto,7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7,,
tinto,7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6,,
blanco,5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7,,
blanco,9,0.31,0.49,6.9,0.034,26,91,0.9937,2.99,0.34,11.5,5,,
tinto,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,,
blanco,5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,6,,
blanco,8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7,,
tinto,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,,
blanco,6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5,,
tinto,9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,6,,
blanco,7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6,,
blanco,7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,5,,
tinto,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,,
tinto,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,,
blanco,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5,,
tinto,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5,,
tinto,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5,,
tinto,9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,,
blanco,6.8,0.24,0.29,2,0.044,15,96,0.99232,3.23,0.64,10.4,8,,
blanco,6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6,,
tinto,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,,
tinto,8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6,,
blanco,6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,6,,
blanco,6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6,,
tinto,10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,7,,
blanco,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7,,
blanco,7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6,,
tinto,7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,,
blanco,7,0.34,0.3,1.8,0.045,44,142,0.9914,2.99,0.45,10.8,6,,
